Date,Open,High,Low,Close,Vol
25/02/2014 00:00,0.88869,0.88913,0.8854,0.88695,59483
26/02/2014 00:00,0.88694,0.89303,0.88664,0.89071,67132
27/02/2014 00:00,0.89073,0.89191,0.88712,0.88835,66686
28/02/2014 00:00,0.88835,0.88895,0.87771,0.87947,77586
02/03/2014 00:00,0.88049,0.88059,0.87819,0.87977,4253
03/03/2014 00:00,0.87976,0.88358,0.87916,0.8829,68843
04/03/2014 00:00,0.88289,0.88782,0.88245,0.88732,70192
05/03/2014 00:00,0.88728,0.88955,0.886,0.8874,68288
06/03/2014 00:00,0.8874,0.8891,0.87945,0.88019,82174
07/03/2014 00:00,0.88021,0.8816,0.87559,0.87749,68238
09/03/2014 00:00,0.87709,0.87805,0.87692,0.87785,2041
10/03/2014 00:00,0.87788,0.87931,0.8761,0.87778,51272
11/03/2014 00:00,0.87778,0.88048,0.87661,0.87757,57902
12/03/2014 00:00,0.87756,0.87882,0.87343,0.87422,71286
13/03/2014 00:00,0.87422,0.87645,0.86987,0.87499,94074
14/03/2014 00:00,0.87497,0.87616,0.87034,0.87216,75386
16/03/2014 00:00,0.87206,0.8728,0.87179,0.87237,2787
